Plot Title: 20366935,,between foam mylar,foam mylar air,mylar snow foam
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2","Temp, °C - 2"
116,2018-06-10 17:49:07,15.61,23.21,1.63
117,2018-06-10 17:50:07,15.57,24.66,1.63
118,2018-06-10 17:51:07,15.53,24.49,1.63
119,2018-06-10 17:52:07,15.40,23.72,1.58
120,2018-06-10 17:53:07,15.31,22.69,1.63
121,2018-06-10 17:54:07,15.23,22.35,1.58
122,2018-06-10 17:55:07,15.18,23.42,1.58
123,2018-06-10 17:56:07,15.06,25.05,1.58
124,2018-06-10 17:57:07,15.01,25.44,1.54
125,2018-06-10 17:58:07,15.01,27.24,1.54
126,2018-06-10 17:59:07,14.88,27.97,1.50
127,2018-06-10 18:00:07,14.84,27.20,1.46
128,2018-06-10 18:01:07,14.80,27.32,1.46
129,2018-06-10 18:02:07,14.75,27.07,1.50
130,2018-06-10 18:03:07,14.71,26.60,1.54
131,2018-06-10 18:04:07,14.63,26.81,1.58
132,2018-06-10 18:05:07,14.58,27.20,1.63
133,2018-06-10 18:06:07,14.58,26.72,1.67
134,2018-06-10 18:07:07,14.54,26.04,1.67
135,2018-06-10 18:08:07,14.54,25.61,1.67
136,2018-06-10 18:09:07,14.54,25.31,1.63
137,2018-06-10 18:10:07,14.50,24.62,1.54
138,2018-06-10 18:11:07,14.54,24.41,1.54
139,2018-06-10 18:12:07,14.50,25.09,1.63
140,2018-06-10 18:13:07,14.41,24.32,1.58
141,2018-06-10 18:14:07,14.50,25.05,1.58
142,2018-06-10 18:15:07,14.45,25.14,1.54
143,2018-06-10 18:16:07,14.45,24.54,1.50
144,2018-06-10 18:17:07,14.37,25.18,1.46
145,2018-06-10 18:18:07,14.41,25.95,1.50
146,2018-06-10 18:19:07,14.37,25.82,1.46
147,2018-06-10 18:20:07,14.33,25.78,1.50
148,2018-06-10 18:21:07,14.33,25.99,1.54
149,2018-06-10 18:22:07,14.24,26.68,1.54
150,2018-06-10 18:23:07,14.24,25.78,1.58
151,2018-06-10 18:24:07,14.20,25.74,1.58
152,2018-06-10 18:25:07,14.20,25.22,1.54
153,2018-06-10 18:26:07,14.20,25.69,1.63
154,2018-06-10 18:27:07,14.15,25.65,1.63
155,2018-06-10 18:28:07,14.11,25.05,1.67
156,2018-06-10 18:29:07,14.11,24.88,1.63
157,2018-06-10 18:30:07,14.11,24.92,1.67
158,2018-06-10 18:31:07,14.11,24.62,1.67
159,2018-06-10 18:32:07,14.07,23.46,1.63
160,2018-06-10 18:33:07,14.03,22.99,1.58
161,2018-06-10 18:34:07,14.03,23.42,1.58
162,2018-06-10 18:35:07,13.98,22.78,1.50
163,2018-06-10 18:36:07,13.98,23.38,1.50
164,2018-06-10 18:37:07,13.94,23.59,1.50
165,2018-06-10 18:38:07,13.94,23.94,1.50
166,2018-06-10 18:39:07,13.94,24.11,1.46
167,2018-06-10 18:40:07,13.90,23.42,1.41
168,2018-06-10 18:41:07,13.85,23.59,1.50
169,2018-06-10 18:42:07,13.85,23.59,1.54
170,2018-06-10 18:43:07,13.81,23.76,1.54
171,2018-06-10 18:44:07,13.81,23.55,1.50
172,2018-06-10 18:45:07,13.73,23.25,1.50
173,2018-06-10 18:46:07,13.73,23.16,1.54
174,2018-06-10 18:47:07,13.68,22.91,1.54
175,2018-06-10 18:48:07,13.68,22.65,1.54
176,2018-06-10 18:49:07,13.68,22.39,1.46
177,2018-06-10 18:50:07,13.64,22.35,1.41
178,2018-06-10 18:51:07,13.60,22.13,1.41
179,2018-06-10 18:52:07,13.55,21.75,1.41
180,2018-06-10 18:53:07,13.55,21.62,1.41
181,2018-06-10 18:54:07,13.51,21.83,1.46
182,2018-06-10 18:55:07,13.47,21.58,1.54
183,2018-06-10 18:56:07,13.47,21.96,1.50
184,2018-06-10 18:57:07,13.43,22.13,1.50
185,2018-06-10 18:58:07,13.38,21.79,1.41
186,2018-06-10 18:59:07,13.34,21.66,1.41
187,2018-06-10 19:00:07,13.34,21.70,1.46
188,2018-06-10 19:01:07,13.25,21.40,1.46
189,2018-06-10 19:02:07,13.25,21.45,1.46
190,2018-06-10 19:03:07,13.21,21.36,1.46
191,2018-06-10 19:04:07,13.12,21.02,1.41
192,2018-06-10 19:05:07,13.17,20.98,1.41
193,2018-06-10 19:06:07,13.08,20.55,1.41
194,2018-06-10 19:07:07,13.04,20.63,1.37
195,2018-06-10 19:08:07,13.04,20.59,1.37
196,2018-06-10 19:09:07,12.95,20.63,1.37
197,2018-06-10 19:10:07,12.91,20.80,1.37
198,2018-06-10 19:11:07,12.87,20.98,1.37
199,2018-06-10 19:12:07,12.87,20.55,1.33
200,2018-06-10 19:13:07,12.82,20.29,1.37
201,2018-06-10 19:14:07,12.78,20.42,1.28
202,2018-06-10 19:15:07,12.70,20.42,1.28
203,2018-06-10 19:16:07,12.65,20.20,1.24
204,2018-06-10 19:17:07,12.65,20.12,1.28
205,2018-06-10 19:18:07,12.61,20.42,1.33
206,2018-06-10 19:19:07,12.52,20.07,1.33
207,2018-06-10 19:20:07,12.48,19.95,1.28
208,2018-06-10 19:21:07,12.48,19.82,1.24
209,2018-06-10 19:22:07,12.40,19.47,1.20
210,2018-06-10 19:23:07,12.31,19.30,1.16
211,2018-06-10 19:24:07,12.27,19.17,1.24
212,2018-06-10 19:25:07,12.27,18.92,1.20
213,2018-06-10 19:26:07,12.18,18.83,1.28
214,2018-06-10 19:27:07,12.14,18.66,1.20
215,2018-06-10 19:28:07,12.05,18.87,1.24
216,2018-06-10 19:29:07,12.01,18.79,1.24
217,2018-06-10 19:30:07,11.97,18.36,1.24
218,2018-06-10 19:31:07,11.88,17.76,1.20
219,2018-06-10 19:32:07,11.88,17.11,1.20
220,2018-06-10 19:33:07,11.84,16.39,1.16
221,2018-06-10 19:34:07,11.84,15.70,1.16
222,2018-06-10 19:35:07,11.75,15.14,1.11
223,2018-06-10 19:36:07,11.67,14.84,1.07
224,2018-06-10 19:37:07,11.62,14.63,1.07
225,2018-06-10 19:38:07,11.58,14.41,1.11
226,2018-06-10 19:39:07,11.49,14.33,1.16
227,2018-06-10 19:40:07,11.45,14.24,1.11
228,2018-06-10 19:41:07,11.37,14.20,1.16
229,2018-06-10 19:42:07,11.32,14.15,1.24
230,2018-06-10 19:43:07,11.24,14.07,1.24
231,2018-06-10 19:44:07,11.15,14.03,1.24
232,2018-06-10 19:45:07,11.11,13.85,1.16
233,2018-06-10 19:46:07,11.02,13.81,1.20
234,2018-06-10 19:47:07,10.89,13.81,1.16
235,2018-06-10 19:48:07,10.85,13.73,1.16
236,2018-06-10 19:49:07,10.77,13.60,1.07
237,2018-06-10 19:50:07,10.68,13.47,1.07
238,2018-06-10 19:51:07,10.64,13.47,1.03
239,2018-06-10 19:52:07,10.51,13.47,1.03
240,2018-06-10 19:53:07,10.51,13.25,1.03
241,2018-06-10 19:54:07,10.42,13.12,1.07
242,2018-06-10 19:55:07,10.34,13.00,0.98
243,2018-06-10 19:56:07,10.25,12.91,0.98
244,2018-06-10 19:57:07,10.16,13.00,0.94
245,2018-06-10 19:58:07,10.12,12.95,0.98
246,2018-06-10 19:59:07,10.04,12.91,0.90
247,2018-06-10 20:00:07,9.95,12.82,0.94
248,2018-06-10 20:01:07,9.91,12.82,0.94
249,2018-06-10 20:02:07,9.78,12.70,0.94
250,2018-06-10 20:03:07,9.78,12.74,0.90
251,2018-06-10 20:04:07,9.65,12.61,0.94
252,2018-06-10 20:05:07,9.61,12.52,0.90
253,2018-06-10 20:06:07,9.56,12.48,0.90
254,2018-06-10 20:07:07,9.44,12.44,0.90
255,2018-06-10 20:08:07,9.39,12.35,0.86
256,2018-06-10 20:09:07,9.31,12.31,0.86
257,2018-06-10 20:10:07,9.26,12.35,0.90
258,2018-06-10 20:11:07,9.22,12.22,0.81
259,2018-06-10 20:12:07,9.09,12.18,0.86
260,2018-06-10 20:13:07,9.05,11.97,0.81
261,2018-06-10 20:14:07,9.01,12.01,0.81
262,2018-06-10 20:15:07,8.92,11.97,0.81
263,2018-06-10 20:16:07,8.83,12.05,0.77
264,2018-06-10 20:17:07,8.79,11.92,0.81
265,2018-06-10 20:18:07,8.79,11.67,0.77
266,2018-06-10 20:19:07,8.75,11.32,0.81
267,2018-06-10 20:20:07,8.62,11.02,0.81
268,2018-06-10 20:21:07,8.58,10.98,0.73
269,2018-06-10 20:22:07,8.49,11.11,0.68
270,2018-06-10 20:23:07,8.45,11.24,0.73
271,2018-06-10 20:24:07,8.41,11.28,0.68
272,2018-06-10 20:25:07,8.32,11.28,0.68
273,2018-06-10 20:26:07,8.28,11.02,0.73
274,2018-06-10 20:27:07,8.23,10.81,0.73
275,2018-06-10 20:28:07,8.15,10.68,0.73
276,2018-06-10 20:29:07,8.11,10.38,0.68
277,2018-06-10 20:30:07,8.02,10.25,0.64
278,2018-06-10 20:31:07,7.98,10.12,0.64
279,2018-06-10 20:32:07,7.89,10.08,0.64
280,2018-06-10 20:33:07,7.85,9.95,0.64
281,2018-06-10 20:34:07,7.81,10.04,0.64
282,2018-06-10 20:35:07,7.76,10.16,0.68
283,2018-06-10 20:36:07,7.72,10.16,0.60
284,2018-06-10 20:37:07,7.68,9.99,0.64
285,2018-06-10 20:38:07,7.59,9.82,0.64
286,2018-06-10 20:39:07,7.42,10.04,0.60
287,2018-06-10 20:40:07,7.46,10.21,0.60
288,2018-06-10 20:41:07,7.38,10.21,0.60
289,2018-06-10 20:42:07,7.33,10.21,0.60
290,2018-06-10 20:43:07,7.29,10.12,0.60
291,2018-06-10 20:44:07,7.20,10.21,0.60
292,2018-06-10 20:45:07,7.12,10.21,0.55
293,2018-06-10 20:46:07,7.16,10.25,0.60
294,2018-06-10 20:47:07,7.08,10.16,0.60
295,2018-06-10 20:48:07,6.99,10.25,0.60
296,2018-06-10 20:49:07,6.95,10.16,0.60
297,2018-06-10 20:50:07,6.90,9.99,0.60
298,2018-06-10 20:51:07,6.86,9.82,0.55
299,2018-06-10 20:52:07,6.82,9.78,0.51
300,2018-06-10 20:53:07,6.78,9.69,0.60
301,2018-06-10 20:54:07,6.73,9.61,0.51
302,2018-06-10 20:55:07,6.69,9.65,0.55
303,2018-06-10 20:56:07,6.65,9.39,0.51
304,2018-06-10 20:57:07,6.60,9.18,0.51
305,2018-06-10 20:58:07,6.56,9.14,0.51
306,2018-06-10 20:59:07,6.56,9.09,0.51
307,2018-06-10 21:00:07,6.48,9.14,0.51
308,2018-06-10 21:01:07,6.48,8.96,0.51
309,2018-06-10 21:02:07,6.39,8.79,0.51
310,2018-06-10 21:03:07,6.39,8.71,0.47
311,2018-06-10 21:04:07,6.30,8.75,0.51
312,2018-06-10 21:05:07,6.26,8.75,0.47
313,2018-06-10 21:06:07,6.22,8.83,0.47
314,2018-06-10 21:07:07,6.17,9.01,0.43
315,2018-06-10 21:08:07,6.13,8.96,0.47
316,2018-06-10 21:09:07,6.09,9.01,0.51
317,2018-06-10 21:10:07,6.05,8.83,0.47
318,2018-06-10 21:11:07,6.00,8.96,0.47
319,2018-06-10 21:12:07,5.96,8.83,0.43
320,2018-06-10 21:13:07,5.87,8.71,0.47
321,2018-06-10 21:14:07,5.83,8.53,0.51
322,2018-06-10 21:15:07,5.75,8.36,0.47
323,2018-06-10 21:16:07,5.75,8.23,0.51
324,2018-06-10 21:17:07,5.66,8.06,0.43
325,2018-06-10 21:18:07,5.62,8.02,0.47
326,2018-06-10 21:19:07,5.53,7.93,0.43
327,2018-06-10 21:20:07,5.53,7.85,0.43
328,2018-06-10 21:21:07,5.49,7.81,0.43
329,2018-06-10 21:22:07,5.45,7.68,0.43
330,2018-06-10 21:23:07,5.40,7.50,0.43
331,2018-06-10 21:24:07,5.36,7.46,0.43
332,2018-06-10 21:25:07,5.27,7.38,0.43
333,2018-06-10 21:26:07,5.27,7.42,0.43
334,2018-06-10 21:27:07,5.15,7.46,0.43
335,2018-06-10 21:28:07,5.10,7.38,0.43
336,2018-06-10 21:29:07,5.06,7.20,0.38
337,2018-06-10 21:30:07,5.02,7.38,0.38
338,2018-06-10 21:31:07,4.93,7.42,0.34
339,2018-06-10 21:32:07,4.84,7.33,0.43
340,2018-06-10 21:33:07,4.84,7.33,0.43
341,2018-06-10 21:34:07,4.76,7.25,0.43
342,2018-06-10 21:35:07,4.72,7.42,0.38
343,2018-06-10 21:36:07,4.67,7.50,0.38
344,2018-06-10 21:37:07,4.67,7.46,0.38
345,2018-06-10 21:38:07,4.59,7.63,0.43
346,2018-06-10 21:39:07,4.59,7.68,0.38
347,2018-06-10 21:40:07,4.50,7.89,0.38
348,2018-06-10 21:41:07,4.50,8.02,0.43
349,2018-06-10 21:42:07,4.42,8.15,0.43
350,2018-06-10 21:43:07,4.42,8.19,0.34
351,2018-06-10 21:44:07,4.37,8.19,0.38
352,2018-06-10 21:45:07,4.33,8.15,0.43
353,2018-06-10 21:46:07,4.24,8.11,0.34
354,2018-06-10 21:47:07,4.29,8.11,0.34
355,2018-06-10 21:48:07,4.20,7.85,0.34
356,2018-06-10 21:49:07,4.20,7.33,0.34
357,2018-06-10 21:50:07,4.12,7.55,0.38
358,2018-06-10 21:51:07,4.16,7.63,0.34
359,2018-06-10 21:52:07,4.16,7.76,0.34
360,2018-06-10 21:53:07,4.16,7.93,0.34
361,2018-06-10 21:54:07,4.07,7.85,0.34
362,2018-06-10 21:55:07,4.07,7.63,0.34
363,2018-06-10 21:56:07,4.03,7.59,0.30
364,2018-06-10 21:57:07,4.03,7.55,0.34
365,2018-06-10 21:58:07,3.99,7.76,0.34
366,2018-06-10 21:59:07,3.94,7.89,0.34
367,2018-06-10 22:00:07,3.90,7.93,0.30
368,2018-06-10 22:01:07,3.90,7.68,0.38
369,2018-06-10 22:02:07,3.86,7.46,0.34
370,2018-06-10 22:03:07,3.82,7.63,0.34
371,2018-06-10 22:04:07,3.77,7.72,0.30
372,2018-06-10 22:05:07,3.77,7.68,0.38
373,2018-06-10 22:06:07,3.73,7.76,0.34
374,2018-06-10 22:07:07,3.73,7.59,0.30
375,2018-06-10 22:08:07,3.69,7.38,0.34
376,2018-06-10 22:09:07,3.64,6.99,0.34
377,2018-06-10 22:10:07,3.60,6.52,0.30
378,2018-06-10 22:11:07,3.60,6.22,0.30
379,2018-06-10 22:12:07,3.52,6.13,0.30
380,2018-06-10 22:13:07,3.56,6.00,0.34
381,2018-06-10 22:14:07,3.52,5.79,0.34
382,2018-06-10 22:15:07,3.52,5.79,0.30
383,2018-06-10 22:16:07,3.39,5.92,0.30
384,2018-06-10 22:17:07,3.39,5.96,0.25
385,2018-06-10 22:18:07,3.39,6.17,0.34
386,2018-06-10 22:19:07,3.39,6.39,0.34
387,2018-06-10 22:20:07,3.34,6.48,0.25
388,2018-06-10 22:21:07,3.30,6.65,0.30
389,2018-06-10 22:22:07,3.30,6.73,0.30
390,2018-06-10 22:23:07,3.26,6.35,0.34
391,2018-06-10 22:24:07,3.21,6.48,0.34
392,2018-06-10 22:25:07,3.17,6.56,0.34
393,2018-06-10 22:26:07,3.17,6.52,0.34
394,2018-06-10 22:27:07,3.13,6.48,0.34
395,2018-06-10 22:28:07,3.13,6.56,0.38
396,2018-06-10 22:29:07,3.09,6.56,0.34
397,2018-06-10 22:30:07,3.09,6.78,0.38
398,2018-06-10 22:31:07,3.04,6.90,0.34
399,2018-06-10 22:32:07,3.04,6.78,0.34
400,2018-06-10 22:33:07,3.04,6.82,0.34
401,2018-06-10 22:34:07,3.00,6.65,0.30
402,2018-06-10 22:35:07,2.96,6.35,0.30
403,2018-06-10 22:36:07,3.00,6.39,0.25
404,2018-06-10 22:37:07,3.00,6.22,0.30
405,2018-06-10 22:38:07,2.96,6.09,0.30
406,2018-06-10 22:39:07,2.91,6.00,0.30
407,2018-06-10 22:40:07,2.91,5.92,0.30
408,2018-06-10 22:41:07,2.96,6.00,0.25
409,2018-06-10 22:42:07,2.91,6.17,0.25
410,2018-06-10 22:43:07,2.87,6.26,0.30
411,2018-06-10 22:44:07,2.87,6.26,0.25
412,2018-06-10 22:45:07,2.83,5.92,0.25
413,2018-06-10 22:46:07,2.79,5.87,0.25
414,2018-06-10 22:47:07,2.83,5.87,0.30
415,2018-06-10 22:48:07,2.79,6.17,0.30
416,2018-06-10 22:49:07,2.74,6.30,0.30
417,2018-06-10 22:50:07,2.74,6.26,0.30
418,2018-06-10 22:51:07,2.74,6.26,0.30
419,2018-06-10 22:52:07,2.74,6.52,0.25
420,2018-06-10 22:53:07,2.66,6.26,0.25
421,2018-06-10 22:54:07,2.70,6.13,0.25
422,2018-06-10 22:55:07,2.61,6.22,0.25
423,2018-06-10 22:56:07,2.57,6.13,0.25
424,2018-06-10 22:57:07,2.57,6.30,0.30
425,2018-06-10 22:58:07,2.57,6.22,0.30
426,2018-06-10 22:59:07,2.57,6.00,0.25
427,2018-06-10 23:00:07,2.57,5.87,0.25
428,2018-06-10 23:01:07,2.57,5.75,0.25
429,2018-06-10 23:02:07,2.53,5.79,0.25
430,2018-06-10 23:03:07,2.49,5.83,0.21
431,2018-06-10 23:04:07,2.44,5.87,0.25
432,2018-06-10 23:05:07,2.44,5.92,0.30
433,2018-06-10 23:06:07,2.40,6.00,0.25
434,2018-06-10 23:07:07,2.40,6.00,0.30
435,2018-06-10 23:08:07,2.36,6.00,0.25
436,2018-06-10 23:09:07,2.40,5.92,0.25
437,2018-06-10 23:10:07,2.36,5.75,0.21
438,2018-06-10 23:11:07,2.36,5.79,0.25
439,2018-06-10 23:12:07,2.31,5.75,0.25
440,2018-06-10 23:13:07,2.31,5.70,0.25
441,2018-06-10 23:14:07,2.23,5.62,0.25
442,2018-06-10 23:15:07,2.23,5.79,0.25
443,2018-06-10 23:16:07,2.23,5.83,0.21
444,2018-06-10 23:17:07,2.23,5.92,0.21
445,2018-06-10 23:18:07,2.23,5.92,0.17
446,2018-06-10 23:19:07,2.19,5.96,0.21
447,2018-06-10 23:20:07,2.19,5.87,0.21
448,2018-06-10 23:21:07,2.14,6.00,0.21
449,2018-06-10 23:22:07,2.14,5.92,0.25
450,2018-06-10 23:23:07,2.14,5.75,0.21
451,2018-06-10 23:24:07,2.10,5.75,0.21
452,2018-06-10 23:25:07,2.10,5.49,0.21
453,2018-06-10 23:26:07,2.06,5.27,0.21
454,2018-06-10 23:27:07,2.14,5.19,0.17
455,2018-06-10 23:28:07,2.06,5.19,0.21
456,2018-06-10 23:29:07,2.06,5.23,0.21
457,2018-06-10 23:30:07,2.01,5.15,0.21
458,2018-06-10 23:31:07,1.97,5.19,0.17
459,2018-06-10 23:32:07,1.93,5.06,0.21
460,2018-06-10 23:33:07,2.01,4.89,0.21
461,2018-06-10 23:34:07,1.97,4.89,0.17
462,2018-06-10 23:35:07,1.97,4.84,0.17
463,2018-06-10 23:36:07,1.93,4.84,0.13
464,2018-06-10 23:37:07,1.88,4.76,0.21
465,2018-06-10 23:38:07,1.88,4.84,0.21
466,2018-06-10 23:39:07,1.88,5.02,0.17
467,2018-06-10 23:40:07,1.88,4.84,0.17
468,2018-06-10 23:41:07,1.84,5.02,0.21
469,2018-06-10 23:42:07,1.84,5.02,0.17
470,2018-06-10 23:43:07,1.76,4.97,0.17
471,2018-06-10 23:44:07,1.76,4.89,0.17
472,2018-06-10 23:45:07,1.80,5.19,0.21
473,2018-06-10 23:46:07,1.76,5.62,0.17
474,2018-06-10 23:47:07,1.76,5.49,0.17
475,2018-06-10 23:48:07,1.71,5.36,0.17
476,2018-06-10 23:49:07,1.71,5.19,0.21
477,2018-06-10 23:50:07,1.67,5.40,0.21
478,2018-06-10 23:51:07,1.67,5.40,0.17
479,2018-06-10 23:52:07,1.63,5.32,0.17
480,2018-06-10 23:53:07,1.63,5.40,0.13
481,2018-06-10 23:54:07,1.63,5.57,0.21
482,2018-06-10 23:55:07,1.63,5.62,0.17
483,2018-06-10 23:56:07,1.67,5.62,0.17
484,2018-06-10 23:57:07,1.63,5.53,0.17
485,2018-06-10 23:58:07,1.63,5.45,0.21
486,2018-06-10 23:59:07,1.58,5.32,0.17
487,2018-06-11 0:00:07,1.58,5.19,0.17
488,2018-06-11 0:01:07,1.54,5.02,0.21
489,2018-06-11 0:02:07,1.58,4.80,0.25
490,2018-06-11 0:03:07,1.54,4.67,0.21
491,2018-06-11 0:04:07,1.58,4.67,0.25
492,2018-06-11 0:05:07,1.58,4.72,0.21
493,2018-06-11 0:06:07,1.54,4.50,0.17
494,2018-06-11 0:07:07,1.58,4.50,0.13
495,2018-06-11 0:08:07,1.54,4.59,0.17
496,2018-06-11 0:09:07,1.54,4.59,0.25
497,2018-06-11 0:10:07,1.50,4.76,0.17
498,2018-06-11 0:11:07,1.50,4.93,0.17
499,2018-06-11 0:12:07,1.50,5.15,0.21
500,2018-06-11 0:13:07,1.54,5.02,0.21
501,2018-06-11 0:14:07,1.50,4.76,0.17
502,2018-06-11 0:15:07,1.50,4.63,0.21
503,2018-06-11 0:16:07,1.54,4.63,0.13
504,2018-06-11 0:17:07,1.46,4.80,0.21
505,2018-06-11 0:18:07,1.50,4.93,0.17
506,2018-06-11 0:19:07,1.50,4.76,0.21
507,2018-06-11 0:20:07,1.46,4.76,0.17
508,2018-06-11 0:21:07,1.50,4.63,0.17
509,2018-06-11 0:22:07,1.46,4.54,0.17
510,2018-06-11 0:23:07,1.46,4.59,0.21
511,2018-06-11 0:24:07,1.46,4.63,0.17
512,2018-06-11 0:25:07,1.41,4.80,0.17
